City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
691,Uglekamensk,RU,43.2172,133.2303,30.02,68,4,1.92,clear sky
692,Ipixuna,BR,-1.7625,-48.8043,83.12,70,64,4.16,broken clouds
693,Novoorsk,RU,51.381,58.9813,34.45,36,100,8.55,overcast clouds
694,Naze,JP,28.3667,129.4833,72.52,84,0,5.55,clear sky
695,Mareeba,AU,-17.0,145.4333,70.52,89,99,4.18,overcast clouds
696,Viedma,AR,-40.8135,-62.9967,57.34,81,100,17.0,moderate rain
697,Muli,MV,2.9167,73.5667,80.74,79,100,14.99,overcast clouds
698,Onguday,RU,50.75,86.15,29.21,65,3,2.28,clear sky
699,North Platte,US,41.1239,-100.7654,69.69,59,0,7.0,clear sky
700,Vanavara,RU,60.34,102.2797,24.87,82,37,6.04,scattered clouds
701,Aksarka,RU,66.5606,67.7975,36.3,83,8,5.95,clear sky
702,West Bay,KY,19.3667,-81.4167,87.87,71,75,11.5,broken clouds
